"id","airline","tweet"
"80938","United","@united I'm having issues. Yesterday I rebooked for 24 hours after I was supposed to fly, now I can't log on &amp; check in. Can you help?"
"10959","United","@united kinda feel like the $6.99 you charge for in flight Wi-Fi is ridiculous. AND it sucks, slow, or doesn't work. #anythingtomakeabuck"
"130813","SouthWest","Livid in Vegas, delayed, again&amp; again&amp;again, @SouthwestAir decided to cancel a flight and combine two, then waited on crew, now pilots."
"146589","United","@united the most annoying man on earth is on my flight. what can you do to help me?"
"117579","United","@united The last 2 weeks I've flown wit u, you have given me 4 reasons to convince me it was a bad decision. Time 2 go back 2 @SouthwestAir"
"95632","American","@AmericanAir #AmericanAirlines  Flight 1179 Miami to DC. Gate closes at least 19 minutes before the flight. Agents show up and lie to me."
"155716","United","@ABC It appears @united employees have a fear of autism."
"146677","JetBlue","Kids have no idea we are heading to WDW tue for an extended vacation. Can't wait to see their face boarding @JetBlue #AKV #DisneySide"
"33467","United","Four hour delay on my @united flight from dallas to houston. My longest delay i ever had for flight.  Going to be a late night arrival home"
"151044","American","@AmericanAir sitting on the runway at DFW waiting to park. I have a connection in 15 to AUS. Can they hold for a few extra minutes!? Please"
"6062","United","@united don't worry I won't be flying united again, one week with two terrible trips was enough"
"87665","United","""@KingBach: This flight attendant on @united airlines is extremely rude. Shoulda flown @Delta âœˆï¸"""
"65673","American","@AmericanAir better late than never."
"13352","United","@United spent 2 days in SFO airport hotel on my dime (&amp; no lounge access) received a $250 Voucher AFTER flight cancelled due to Pilot no sho"
"37722","United","@5000mgmt I think your twitter was hacked. It just tweeted out a compliment instead of a complaint to @united."
"37811","JetBlue","@JetBlue NOT a good move. Arent the lower gas prices good enough to reach the bottom line? http://t.co/sweFUSGZfK"
"119965","Delta","@TSAmedia_RossF hmm ... That's the issue?? All TSA employees and no airport/@DeltaAssist. Maybe we need #LessBlueShirtsMoreLeaders"
"83222","JetBlue","@JetBlue LOVES cancelling flights!! Get me home to NY please!!"
"33650","United","@united I'm crying. We will lose $644 if we cancel our cruise but it costs too much to get the tickets. This is nuts. :("
"65887","VirginAmerica","@JoshMcDermitt @VirginAmerica oh that's not good."
"133416","United","Our flight reservation was arbitratrily cancelled by @United. And they don't even know why. LOL United is a joke airline. Never again."
"49397","SouthWest","Bed time when WiFi doesn't work on @Southwestair as expected. Hope clients aren't pissed. Missed work deadlines. http://t.co/RVxy1Rv8Jx"
"129190","American","@AmericanAir   How much longer is my delay???  I wanna see my baby!!!"
"38453","JetBlue","@JetBlue You were my favorite airline but this news about baggage fees and cutting legroom makes you just like all the others. Bad decision!"
"98913","SouthWest","@SouthwestAir you guys should stop doing service in Denver it's horrible I get stuck here every time! I've been here almost 24hrs"
"144156","American","@AmericanAir Bos. flight attendent tells me, after others use the br that I would cause the whole plane to be late if I went in? Wtf?"
"47812","SouthWest","My GRR air travel options, ranked: @Southwestair &gt; @Delta &gt; @Americanair &gt; walking barefoot to destination &gt; @United"
"172505","United","@jaysonstreet I wouldn't want to be trapped on a fight with a screaming kid. That said @united http://t.co/WrzJC1xLLJ"
"13915","United","@united my poor friend is getting sass from your customer service reps about obtaining past receipts. #badcustomerservice"
"163761","AlaskaAir","@AlaskaAir had to wait a couple hours for the next flight."
"63530","American",". @AmericanAir is THE WOST airline EVER! Delayed flights, had to beg for the 1st class I PAID FOR. LOST MY BAG. I hate u guys NEVER AGAIN"
"54096","Delta","@Delta @DeltaAssist every flight I've been on for the past 3 months have been delayed, almost missing my connection in a 2 hour layover."
"13424","JetBlue","@alltomlou unlike @JetBlue they got wifi on dem planes. Ã°Å¸ËœÂ and free food. APRIL come already. SCREW TOU UNITED"
"93131","SouthWest","@SouthwestAir sucks ðŸ˜­ #NeverGettingHome #ItWouldBeFasterToWalk"
"96875","United","why do I pay $195 a year &amp; spend thousands on my @united card if they're going to treat me horribly when I fly?! SO disappointed."
"8813","Delta","@DeltaAssist app still not working past November!"
"147131","American","@AmericanAir DCA waiting for a gate again. Tell the pilot to turn on the air. Passengers are not comfortable and tired of excessive wait."
"162016","American","My @USAirways flight is hot as hell. No air conditioning since auxiliary power is turned off but apparently @AmericanAir needed the parking"
"104292","American","C'mon @AmericanAir delay at JFK due to frozen pipes? You'd think preventative measures would be taken for winter; didn't suddenly get cold"
"90616","United","1/ Applied for an @united card with @chase yesterday and never ever during the phone conversation did they ask how they could help me..."
"103676","American","Stuck in Steamboat, on the phone with @AmericanAir and my call dropped. Please help!"
"118726","United","@united 15 hour flight to China and no wifi or video. They just thanked me for my patience. I am not patient."
"12063","American","Whatâ€™s up w/so many airlines not having wifi lately? On 767 @AmericanAir plane &amp; no wifi fr Miami to Orlando?! Becoming as bad as hotels"
"128685","Delta","@DeltaAssist: 1156 delayed out of PDX; likely missing connection in ATL. Can you get me on 4914 to CHO?"
"118848","SouthWest","Not sure I can ever fly @SouthwestAir again. Another delayed flight. Air conditioner is broken and we are overweight. #safetyfirst"
"127481","JetBlue","@scott_crow Man, @JetBlue is so bad, they make @united look like @emirates. Count on a bad experience with them at least half the time :/"
"43937","United","@united please tell flight 3466 from ORD-BTV to wait for me!! Delayed a bit on flight 333 Austin to ORD."
"100830","SouthWest","@SouthwestAir I'm having alt of trouble checking in my flight, highly disappointed. Online won't work and I've been on the phone for an hour"
"143911","United","Come on @united flight delayed and can't move me to earlier flight that's only 50% booked without fee. That's crazy!!"
"68204","United","@united you told a passenger that they would be able to make a connecting flight, despite a 2 hour delay.  Now they are stranded.  #yousuck"
"114275","SouthWest","@SouthwestAir Flight 177 out of LAS delayed again. Shocking Ã¢â‚¬â€ why is this flight perpetually late? Did I select the wrong airline? #noLuv :("
"142767","VirginAmerica","@VirginAmerica yes I would like to file a complaint!"
"109695","American","@MixedSemaphore @AmericanAir @dfwairport and get people to load bags. Beyond ridiculous tonight. #airportfailure"
"55637","United","@jacksonfall which begs the question: What's worse than air travel with @united  (Answer: Nothing.)"
"12750","United","Why does @united continue to torment people on hold with vilest version of Rhapsody in Blue ever recorded? #gershwinshouldsue"
"60091","American","@AmericanAir there were items ripped open from one of my bags and missing that I checked, can someone call me immediately"
"51473","Delta","Looks like @Delta @DeltaAssist owes @mattnathanson a little more than an apology for destroying his guitar. #notshocked"
"95568","Delta","@DeltaAssist no you suck"
"149504","United","@united why 15 people deep waiting to get into redcarpet club EWR really slow check in http://t.co/QkeZyds3l9"
"43303","United","Are you kidding me @united your service is terrible and somehow my brother and I just got bumped from our 12 PM flight to 9 PM WTF is this."
"9794","VirginAmerica","@VirginAmerica worst inflight service ever! Not UA low, but an order of magnitude worse than the usual delight I've come to expect. #VX027"
"45947","Delta","@SinaBahram hmm, so sad @DeltaAssist booking next time might be best with another carrier #failToHelp"
"123571","JetBlue","@JetBlue I lost my wallet on a plane, how would I go about retrieving it? Pleas help"
"12745","American","@AmericanAir Just got notified our flight to ORD has been cancelled. It's AA3520. I'm on hold but perhaps Twitter can be faster?"
"66461","United","@united just had my flight home cancelled, been waiting in customer service for a couple hours now, not enough reps. A little help is needed"
"68867","JetBlue","@jetblue Should get a full refund of cost of changing to an earlier flight. Been at MCO airport with a 3 hour delayed flight. Waste of $"
"112302","United","United Airlines: A first-class cock up http://t.co/D7ZJ4FerLL @united this is karma from poor treatment of customers."
"130062","SouthWest","Never flying @SouthwestAir again!!! #angry"
"121870","American","@AmericanAir poor poor treatment at LHR T3 checkin. Female agent questioned my OW Sapphire status! Will use other OW partners-appalled by AA"
"84924","Delta","@aayoub @Remroum @Delta @DeltaAssist would they have put a #WASP to the back of the plane after being harassed?"
"133885","American","@bewareofblair @AmericanAir That totally sucks. I hate when companies aren't sympathetic and don't want to work with people"
"16889","United","The @united married segment logic that impacts upgrade available space is annoying - http://t.co/xARmp6Eb6P"
"3004","United","NEVER FLY @united, rude employees, always a bad experience, they are crooks: $200 for a change fee plus the difference. I want @JetBlue back"
"102218","United","@united 2 flights in 3 days and both delays for maintenance issues. Any chance to prevent issues be4 boarding? Frustrating"
"4768","United","@united  lost my luggage twice. I missed my flight bc the 1 teller they had at MAF was in the back searching for lost luggage for 45mins."
"389","JetBlue","Vincent London CS JB Manager at UVF, provided the worst service I have ever received in my life! B/C of him I am stranded. @JetBlue"
"114197","American","More than 40 minutes waiting for a gate  @ MIA....  @AmericanAir"
"92890","SouthWest","I'm extremely disappointed in @SouthwestAir and the way they treated my aunt and my 8 year old cousin. So disrespectful and unprofessional."
"157554","Delta","Seriously @DeltaAssist and @Delta, flight attendants on DL2728 just go camp out in seats at back of airplane during 30 minute ground delay?"
"169752","United","@united 1st you kick of kid on spectrum, now crying kids. You are awful. @Autism @autismspeaks"
"108707","American","@AmericanAir Spent 2.5 hours on hold last night. Will I ever get my luggage back? Gone since Friday."
"2674","United","Hey @united do u think our bags could come out today?  Travel every week never seen bags this slow.  Guess that's why I fly @Delta normally"
"150702","United","@united worst boarding process ever. Enforce the small bags go under the seat rule!"
"109049","SouthWest","@Southwestair wifi connection on my flight is terrible. Switched devices to try and fix the problem, now I'm out $16!"
"162167","American","FUCK @AmericanAir"
"169395","United","@SarahBlackwood1 @united kicks a pregnant woman and her child off a plane???? Sickening"
"98942","AlaskaAir","@AlaskaAir is trying to charge $150 to fix a typo and I've been on hold with @Expedia for 35 minutes. ðŸ˜ "
"64575","SouthWest","@l0ftzilla @AJFeather How does arriving early mean you're late? @SouthwestAir @USAirways"
"71437","United","@united maybe you can help #ORD find a gate for #UA1435. We are waiting for 30 min on the Tarmac for our gate to open"
"68950","AlaskaAir","Such a great experience so far on @AlaskaAir until I landed at LAX only to find my flight to OKC is 2 hours late #longdaytiredgirl"
"1813","United","@united it does and did. But that didn't stop the attendant from making lines of people wait while we each tried it out. Terrible logistics."
"25406","American","Bought a first class ticket for my mom. Cancelled it. And now being told we can't use any of the left over value. @AmericanAir is a joke."
"129880","United","Flight on @United to WY was worst ever. Now, a mechanical delay when they had all night to fix the problem. 45 min connect time in Denver."
"151672","JetBlue","@jetblue why is flight b6661 from bgi delayed? Airport staff not v helpful with info"
"108454","VirginAmerica","@VirginAmerica I've had super frustrating 24hours trying to work with you b/c you were my fav airline but might rethink that now #frustrated"
"31296","AlaskaAir",".@AlaskaAir got that serious twitter game. Shout out to boarding from the back and emotional damage. And Michael. *air horn*"
"171853","United","There's always some type of delay with @United ... So annoying man."
"157030","United","@united have a nephew with autism, saw how you treated this girl and corporate response, I will never again fly your airline. #boycottunited"
"151871","United","@dannysullivan @SouthwestAir Oh you mean like @united Wifi?  Also a waste."
"12687","American","@AmericanAir Can you help me get home to my daughter? My flight tomorrow from Chi to DC is cancelled (322). I am flex on airports."
"138577","American","@AmericanAir when is flight 1197 actually going to leave tulsa?  We've been given 6 different departure times already today..."
"173475","Delta","@DeltaAssist flight 3911 out of Newark cancelled and I need to get back to LA."
"78141","American","@AmericanAir letting people know u don't have room 4 luggage is a bit late at the gate. Notify sooner."
"90274","SouthWest","@Delta taking bags for a mandatory check way too early in ATL. Inconvenience too many ppl and further delay us. @SouthwestAir 4EVA."
"89062","United","@united please take care of UA2105 people. As if a 13 hour flight isn't daunting enough--they've now been delayed a full 48 hours."
"120598","Delta",".@DeltaAssist Is it intentional that your app forgets my trips? Or is it bad design?"
"95766","JetBlue","$200+ change fees? You'd think @USAirways would be in 21st century now and on par with @SouthwestAir or @JetBlue ! Guess not! #poorservice"
"13862","American","@AmericanAir has horrible policy, not employees. Dec 15 is your Cabo ""Convenience"" cut off date yet our hotel will not be open #disappointed"
"52495","VirginAmerica","Used @VirginAmerica wi-fi to do 4 hours of work on the plane, allowing me to be a tourist in NYC vs being stuck in the hotel #OfficeInTheSky"
"122948","Delta","@DeltaAssist just some bad attitudes toward customers in my observations."
"12765","United","@united I'm never going to make my connection if this ""service"" issue isn't done ASAP UA456 to UA5302"
"1020","JetBlue","@eflind @JetBlue Ugh. So frustrating. I hate airports, they give me anxiety."
"105624","VirginAmerica","@VirginAmerica the code ESCAPE20 is not working on the site, supposed to be good until the end of Sunday...."
"145780","AlaskaAir","@AlaskaAir you guys are killing me. I don't know the last time I've had an on time flight. When traveling for work weekly need reliability!"
"38029","JetBlue","A little @jetblue disappointment damage control email for this evening. . . #airlines #travel #dontchange"
"38591","JetBlue","@JetBlue Thanks but not addressing the issue. I guess i will have to hope your website works properly on next promo"
"152268","JetBlue","This 3-hour delay would be more acceptable if @JetBlue would cover drinks for the wait. You know, at least buy me a drink before you fuck me"
"19878","VirginAmerica","what going on...3+ hour delay c'mon @VirginAmerica"
"86144","United","@united can you plz help me understand the details of flt 6336 delay? #unitedairlines need to make conn flt 1571 in sf"
"42192","JetBlue","@StinaHunz @JetBlue never do they suck. But I miss you happy thanksgiving"
"123452","JetBlue","@AmericanAir poor excuse. I need 2 make 2 flights nxt mnth &amp; will avoid u &amp; @USAirways due 2 this ordeal. @jetblue, @Delta - here i come!"
