"id","airline","tweet"
"404","United","@brianfadem @united The best summertime soap opera is back on the air! I've missed this."
"706","SouthWest","@aresef @united yes the change fees are cheaper. seems like that expensive of a card wld be more flexible. miss @SouthwestAir sometimes."
"882","SouthWest","@SouthwestAir Do you guys not fly from Birmingham to Richmond? Your site say no flights scheduled on X date."
"1196","United","This mornings @united #flight seems to be on time. At least for now. Never know with #United. MinutesÃ¢â‚¬Â¦ http://t.co/zI8hUuASlW"
"1244","JetBlue","@JetBlue @Boston_Calling I have never been to #Boston. Would love an opportunity to explore the history....and bars!"
"1289","JetBlue","@JetBlue @Boston_Calling #JetBlueWillCall I want to go look at colleges there so badly!"
"1402","SouthWest","I just got into boarding group A on @SouthwestAir. That NEVER happens! #refreshallday"
"1475","United","I have never attempted to fly standby on @united before. Hoping this works!"
"1507","United","@united I hate 787! It's ugly."
"1580","American","@AmericanAir Can't wait to read Adam Pitluk's latest column!"
"1629","JetBlue","Thanks also to @JetBlue for a great &amp; affordable trip! Awesome proactive service dealing w a minor issue on return flight! #88Roadtrip"
"1662","American","@AmericanAir found a seat for me arriving at 11:30p. I will cancel my reservation for dinner. Admirals Lounge in this concourse? #comp"
"1708","JetBlue","@JetBlue How come there aren't direct flights from Buffalo to Fort Myers anymore? I took one in April and it was great! No longer available?"
"1713","SouthWest","I can't wait to have @SouthwestAir take me away for vacation on Saturday! #SFOtoMDW"
"1868","Delta","@JaimePrimak @DeltaAssist @Delta wait for the ""I'm so sorry to hear this, how can we help you?"" tweet from them. Tell them #girlbye"
"1917","United","Hey @united - @VirginAtlantic have just #cancelled #Christmas - no flight to Washington on 25/12 - any chance you've got space for two?"
"1998","SouthWest","Nooo! RT @vicmaranto: Epic fail @SouthwestAir  $100 to get on stand-by when there is room on an earlier flight. I'm a A-list Customer too!"
"2007","United","@CassBlakeman #Welbeck will get goals for #Arsenal coz they'll actually play him as a striker, he never got a decent run in the team @United"
"2016","JetBlue","Can't wait for @Boston_Calling this weekend! I'd LOVE some great seats @JetBlue #ScoreEvenMore"
"2318","American","@AmericanAir Sorry to bother you. But for my reservation GWFKGS, what is my baggage allowance? I'm a AA Platinum. Air Berlin's web-p is bad!"
"2347","American","@AmericanAir @crows What about when O'Hare briefly shuts down and all other airlines rebook that day but you just cancel everyone?"
"2354","American","@AmericanAir going to miss the Mad Dogs!"
"2478","AlaskaAir","Thank you @MichaelRRoy .  I am so glad that you are there if I ever run into issue with @AlaskaAir  #MVP #iFlyAlaskaAir for life!!!"
"2494","JetBlue","@JetBlue AMAZING customer service when I had to cancel my flight due to your rescheduling.  No fuss and full refund!  Thanks!"
"2570","United","@ashwin @semil @karaswisher agreed - they are all bad, @united has been better"
"2721","Delta","@DeltaAssist I just missed and purchased a flight and put in the wrong date"
"3318","SouthWest","@SouthwestAir I'm here. On the plane in Pittsburgh waiting on the announcement!"
"3372","VirginAmerica","I appreciate humor injected into @Delta &amp; @VirginAmerica safety videos. @United's not so much, it's a bit too disjointed like a bad movie."
"3399","SouthWest","@SouthwestAir @dish I was on a non wifi flight yesterday. I missed my game :("
"3426","SouthWest","@SouthwestAir Luv it. No longer the ugliest planes in the air!."
"3437","Delta","@geeksarepeople2 @deltaassist on same flight, connecting w/ DL4749 with minutes to spare. Wonder who broke the bracket?"
"3466","SouthWest","Taxi was an hour late today but @SouthwestAir saved the day. I heart them #customerservice"
"3489","SouthWest","@SouthwestAir I'm gonna miss your old colors!"
"3492","SouthWest","@Heather_Poole @hharteveldt @SouthwestAir They will never be Braniff. They need to stop trying."
"3858","United","The Best and Worst Airlines -- According to @twitter http://t.co/T75q6kPkHH via @KurtWagner8 #fb @united"
"3864","SouthWest","@SouthwestAir Ahhh that new plane smell. I am on maiden voyage of Heart1 southwest newest plane KC to Chicago. http://t.co/iY5eim3mGX"
"4032","VirginAmerica","The Best and #Worst #Airlines -- According to #Twitter http://t.co/VAUg2eJeyA @VirginAmerica @JetBlue @AmericanAir http://t.co/MfqJG7nBG4"
"4369","VirginAmerica","Is it too late to switch from @SpiritAirlines to @VirginAmerica?"
"4500","SouthWest","@AP umm really? @SouthwestAir is always on time for my flights! Even out of ATL. Delta sucks!"
"4565","American","@AmericanAir #mayling  In GRR one of the best agents anywhere!!! Also loves her jo!"
"4671","American","@AmericanAir why wouldn't AA have a flight from Chicago to Quebec City?  Gonna have to fly United and I hate them.  Yours a CKey guy"
"4775","American","Now that's how you do a 9/11 tweet. RT @AmericanAir: Today, we pause to remember those we lost. They will forever be in our hearts."
"4988","JetBlue","@HayesGrier I'm sorry you had such a bad time with @USAirways you should try @JetBlue my family loves it!(: love you!!"
"5057","American","Just flew on a new @AmericanAir 737 with entertainment...cool features, but tray tables don't leave any room...at all"
"5222","United","ONE WEEK until @united flies me to #Houston. Can't wait to be reunited with the bestie. :D"
"5231","American","Can't wait! MT @AmericanAir: Our first 787 takes shape in Position 1A, where the mid-body &amp; wings are joined. http://t.co/jdO79OUbij"
"5283","SouthWest","@SouthwestAir: Bold new look, same #SouthwestHeart! http://t.co/iGN739RZ2j http://t.co/hoT76LztM1  Ugh.."
"5394","American","Kudos to my friends @americanair &amp; @united for their style &amp; grace in handling thousands of requests, complaints &amp; more via Twitter."
"5395","United","Kudos to my friends @americanair &amp; @united for their style &amp; grace in handling thousands of requests, complaints &amp; more via Twitter."
"5648","VirginAmerica","Man, I miss my @VirginAmerica flights."
"5684","American","Spending my morning on @AmericanAir! First #Dallas, then #NOLA big beauty weekend w/@behindthechair_ @ #Color2014 can't wait @BethMinardi"
"5724","JetBlue","@JetBlue @PerezHilton Love it! I only fly #JetBlue It's time to switch Perez to BLUE!!!!! #DZFlysOnlyJetBlue"
"5747","United","@KaralynWest @united @AmericanAir it looks like we are in a competition here. I cheat though and keep some old ones Ã°Å¸ËœÂ http://t.co/iAP1VT06g2"
"5811","United","@STLouisRams @united @TBBuccaneers cant wait to see the #rams play tomorrow!!"
"5819","SouthWest","First flight on @SouthwestAir since Dad passed.  He would always tell me if he knew the crew working any flight i was on.  I miss you Dad!"
